compdesc,total_complaints,crash_related,fire_related,total_injuries,total_deaths
ENGINE,67468,1019,1859,878,25
ELECTRICAL SYSTEM,55048,1390,1609,1183,134
UNKNOWN OR OTHER,48373,1864,1008,1774,94
POWER TRAIN,47981,1378,241,727,10
SERVICE BRAKES,28092,3224,224,1777,37
STEERING,26882,1304,89,817,33
FUEL/PROPULSION SYSTEM,19934,475,410,372,9
AIR BAGS,15195,4751,133,4979,89
VEHICLE SPEED CONTROL,13948,1874,66,1126,225
STRUCTURE:BODY,13074,997,271,858,24
VISIBILITY/WIPER,11642,92,41,106,1
SUSPENSION,10860,519,54,290,15
EXTERIOR LIGHTING,9836,172,70,65,1
FORWARD COLLISION AVOIDANCE: AUTOMATIC EMERGENCY BRAKING,9491,947,31,640,9
ENGINE AND ENGINE COOLING,6365,20,93,23,1
FORWARD COLLISION AVOIDANCE: ADAPTIVE CRUISE CONTROL,5792,223,12,215,102
WHEELS,5760,377,44,216,11
FORWARD COLLISION AVOIDANCE: WARNINGS,5269,664,16,386,10
SEAT BELTS,4533,597,35,814,34
ELECTRONIC STABILITY CONTROL (ESC),4008,248,29,159,1
SEATS,4005,183,86,601,17
"FUEL SYSTEM, GASOLINE",3418,16,30,29,0
"SERVICE BRAKES, HYDRAULIC",2590,149,32,106,0
STRUCTURE,2462,17,15,42,0
LANE DEPARTURE: ASSIST,1964,159,5,94,3
TIRES,1796,53,9,21,0
LANE DEPARTURE: BLIND SPOT DETECTION,1762,96,9,34,0
BACK OVER PREVENTION,1585,46,0,14,0
LANE DEPARTURE: WARNING,1474,83,3,49,2
BACK OVER PREVENTION: WARNINGS,1338,182,7,44,1
BACK OVER PREVENTION: SENSING SYSTEM: CAMERA,1153,23,0,6,0
BACK OVER PREVENTION: REARVIEW SYSTEM BRAKING,1001,56,2,16,1
VISIBILITY:SUN/MOON ROOF ASSEMBLY,917,1,0,62,0
VISIBILITY:WINDSHIELD,853,3,2,3,0
VISIBILITY,850,9,3,21,0
LATCHES/LOCKS/LINKAGES:DOORS:LATCH,798,13,3,23,0
"FUEL SYSTEM, DIESEL",776,3,7,6,1
LATCHES/LOCKS/LINKAGES,762,11,0,24,0
FORWARD COLLISION AVOIDANCE,584,78,0,55,0
EQUIPMENT,498,7,14,20,0
POWER TRAIN:AUTOMATIC TRANSMISSION,473,32,10,23,0
STRUCTURE:BODY:DOOR ,419,5,0,28,0
ELECTRICAL SYSTEM: INSTRUMENT CLUSTER/PANEL,407,4,4,4,0
PARKING BRAKE,338,32,4,17,0
VEHICLE SPEED CONTROL:ACCELERATOR PEDAL,336,111,5,83,0
ELECTRICAL SYSTEM:12V/24V/48V BATTERY,331,2,13,9,0
EXTERIOR LIGHTING:HEADLIGHTS,325,3,1,1,0
EQUIPMENT:RECREATIONAL VEHICLE/TRAILER,292,3,21,12,0
TIRES:TREAD/BELT,289,3,0,1,1
WHEELS:LUGS/NUTS/BOLTS/STUDS,277,4,1,4,0
